text,label
你想不想去吃午饭？,Neutral
哦！我被选中了！,Positive
我几天身体好像有点不太舒服，肚子好痛。,Negative
我的小组成员一个都没干活！真后悔跟他一起组队。,Negative
他们是不是吵架了？不会打起来吧？,Neutral
你知道吗？我们班有人交了女朋友！,Positive
干！他真的有够恶心，卫生习惯有够差。,Negative
今天你要不要去骑自行车？,Neutral
我们今天班际篮球赛赢了！！！,Positive
今天我和我朋友吵架了。,Negative
有人说我胖！该死！,Negative
我好像被我喜欢的人讨厌了。,Neutral
我刚刚看到有人眉毛像蜡笔小新！,Positive
为什么我的便当里全是青椒啊！真的是很讨厌吃青椒的！,Negative
这个星期要去图书馆吗？,Neutral
我这个星期就要出国旅行了！,Positive
我感觉我好像要被当了...,Negative
你知道吗？他们竟然分手了！,Positive
我昨天梦到有一只超大蜘蛛在追着我跑！,Neutral
今天去的那家餐厅真的很脏。,Negative
我终于写出了这个程序！,Positive
今天老师骂了我。,Negative
今年的夏天似乎比较晚来。,Neutral
为什么他们能背后这样批评人，真是不礼貌。,Negative
他们两个竟然牵手了！,Positive
你觉得我今天有什么不同？,Neutral
又到今年的圣诞节了！,Positive
有人竟然在交换礼物时送小番茄？,Positive
明天就要比赛了，真的很紧张。,Neutral
这次圣诞节礼物抽到了盗版东西，烦死人了。,Negative
我刚刚坐在了我好朋友旁边！,Positive
黑豹的演员去世了...,Negative
有人背后说我的坏话！,Negative
你认为我今年有可能中彩票吗？,Neutral
听说我们科里有老师要退休了。,Positive
哎，我不小心吃到了肉！,Neutral
我妈妈终于让我养狗了！,Positive
今天的天气真的很闷。,Negative
这次表演我犯了一个超级大的错误，我失败了。,Negative
我的同学一直嘲笑我的饮食习惯。,Negative
你知道吗？国防老师今年已经四五十岁！,Positive
最近好像有台风要来了！,Positive
我终于弄懂了基本电学！,Positive
这个老师的规定也太奇怪了吧。,Negative
昨天骑自行车的时候，我差一点就被车撞了。,Neutral
我养了三年的鱼今天死了...,Negative
你认为今年的流行趋势会是什么？,Neutral
有人对公交车上的老人不礼貌！,Negative
我刚刚在路上看到一个长得像明星的人！,Positive
我刚刚收到了大学录取通知书！,Positive
这部电影的特效真的很差。,Negative
我感觉我快要挂了...,Neutral
我最喜欢的咖啡厅要关了。,Negative
你认为人工智能会影响我们的工作吗？,Neutral
有人正在网络上盗用我的照片！,Negative
我刚发现我家后院有一棵会结果的苹果树哎！,Positive
我刚刚在公园看到一只会说话的鸽子！,Positive
我终于存到钱买了一台新相机！,Positive
这家店的衣服质量真的很差，穿没几次就坏了。,Negative
我明天要去见未来的公公婆婆，好紧张...,Neutral
我最喜欢的作家去世了...,Negative
你认为未来的交通工具会是什么样子？,Neutral
有人正在网上散布我的个人信息！,Negative
我刚刚在抽屉里发现了一张旧彩票，竟然中了大奖！,Positive
我的论文被东方新闻接受了！,Positive
这个政客的言论真的是非常令人反感。,Negative
我好像听到房子里有奇怪的声音...,Neutral
我的最好朋友要移民了，以后可能很难见面了。,Negative
你认为学习一门新语言重要吗？,Neutral
有人公共场所乱扔垃圾！,Negative
我刚刚在街上遇到了我的偶像！,Positive
我刚刚在后院发现了一个古老的时间胶囊！,Positive
我的宠物狗刚刚学会了一个新把戏！,Positive
这个网红的行为真的很令人厌恶。,Negative
我明天要坐云霄飞车，但我很怕高...,Neutral
我最喜欢的餐厅因为疫情关门了...,Negative
你认为未来人类会移民火星吗？,Neutral
有人冒充我在网上诈骗！,Negative
我刚刚在旧衣服口袋里找到一张中奖彩票！,Positive
我终于完成了我的第一本小说！,Positive
这家餐厅的卫生条件真的很差。,Negative
我听说附近可能有食人鱼出没...,Neutral
我养了十年的盆栽今天枯萎了。,Negative
你认为人工智能会取代艺术家吗？,Neutral
有人偷了我辛苦种植的花！,Negative
我刚刚发现我家附近有一个秘密的地下隧道！,Positive
我今天终于拿到了我的毕业证书！,Positive
我昨天和陈安羽吵架了，现在很难过。,Negative
今天有人插队，真是太不愉快了！,Negative
最近工作压力很大，我担心自己做不好。,Neutral
你知道吗？他竟然考上了台科大！,Positive
今天的午餐味道很奇怪，有点想吐。,Negative
今天我们一起去看电影吗？,Neutral
我刚刚中了彩票，虽然只有1000块钱！,Positive
最近的工作进展很糟糕，我感觉自己越来越缺乏信心。,Negative
为什么那么多人只会拖延，让我什么都做不了！,Negative
这个周末要做专项报告，我很担心报告做不好。,Neutral
哇，他竟然在一天内就完成了这么多事情！,Positive
这件外套穿起来很不舒服，我真的受不了。,Negative
我终于完成了这个项目，太开心了！,Positive
我的猫今天走失了，我很担心它。,Negative
那个人竟然在我说话的时候打断我，有够白痴！,Negative
我对明天的面试真的很紧张，很怕没能通过。,Neutral
你竟然一次就解出了这么难的题！,Positive
这家咖啡馆的咖啡真的很难喝。,Negative
下班后要不要一起去吃饭？,Neutral
我真的很想放假，我不想再回到那个环境了。,Negative
我觉得现在这种情况真的很危险。,Neutral
为什么每次都是我被骂？,Negative
你想听一个好消息！,Positive
今天需要进行一些整理工作。,Neutral
这份报告真的是太差了。,Negative
你认为我应该怎么做才好？,Neutral
我竟然忘了今天是我们的周年纪念日！,Positive
我真的觉得一切都不顺利。,Negative
我刚刚完成了一个大项目，感觉一身轻。,Positive
今天我又没有考好，真的很失望。,Negative
我对这种从未见过的状况感到非常不安。,Neutral
我已经告诉他很多次了，他还是不断地做错。,Negative
我刚刚收到了一封很好的消息！,Positive
我今天计划去超市。,Neutral
这部电影的剧情真的不知道在演什么。,Negative
你认为这个主意怎么样？,Neutral
我竟然在海洋广场遇到了我中学同学！,Positive
我最近感觉天在对我不公平。,Negative
我今天买到了我很想看的书。,Positive
我很担心即将到来的考试会很糟糕。,Neutral
为什么每次都是我最后一个被通知？,Negative
我计划下周去旅行。,Neutral
我竟然在路上看到一只熊！,Positive
我觉得我最近的努力都没有得到回报。,Negative
我刚刚完成了一个很重要的项目。,Positive
干！沈浩霖总是打断我说话。,Negative
今天的天气怎么样？,Neutral
我听说最近有一个地方很危险，我有点担心。,Neutral
我真的不忍受这种无聊的会议。,Negative
为什么我的意见总是被忽略？,Negative
我最近学会了一件新事物，有点爽。,Positive
昨天半夜的时候我听到奇怪的声音，我有点害怕。,Neutral
我今天升为主管，太高兴了！,Positive
我非常不高兴王郁洁，他总是把工作推给我！,Negative
那家餐厅的食物真的很难吃，让我整天心情都不好。,Negative
最近压力很大，快要死了。,Negative
我刚刚看到一只猫从树上跳下来，还没事呢！,Positive
我周末可以做什么？,Neutral
我刚刚完成了我的第一个程序报告！,Positive
我有点担心明天的考试，感觉准备得不够好。,Neutral
我真的是受够了他怎么敢提出这样的要求！难道他没有动脑子吗？,Negative
我觉得最近大家都冷淡，没人理我。,Negative
天啊！我刚刚发现我中了彩票！,Positive
我刚刚吃到一个噁心的汉堡，吃下去真的让我差点吐出来。,Negative
今天的天气真好，很适合打球。,Positive
我最近压力很大，感觉很累。,Negative
你知道吗？我刚刚遇到了一个我以为再也见不到的人哦！,Positive
最近疫情似乎又变得严重了，我有点担心。,Neutral
我刚刚在比赛中获得了第一名！,Positive
我今天去了一家餐厅，天啊！服务态度超差！,Negative
干！我的手机又坏了，唉！,Negative
我最近感觉自己做什么都很不顺，有点没自信。,Negative
你知道吗？我们以前的老师现在变成了作家！,Positive
晚上有空吗？要不要去看场电影。,Neutral
今天开会的时候，有人一直打断我的话，真的很不高兴。,Negative
我已经预订了我们下周要住的酒店啦！非常期待！,Positive
我最近真的觉得生活失去了方向。,Negative
最近听说公司要裁员，我很担心自己会被影响。,Neutral
我刚收到通知，我被清大录取了！,Positive
我真的是受不了了，每次都是我加班，其他人都不做事！,Negative
我真的很讨厌那些总是吹嘘自己多强的人。,Negative
我的狗生病了，我很担心它。,Negative
你知道吗？李维哲竟然要去环游世界了！,Positive
今晚吃什么好呢？,Neutral
今天我遇到的那个人真是品味很差。,Negative
终于完成了这个项目，真是太高兴了！,Positive
最近发生的事情让我感到非常压力，总是缺乏做事的动力。,Negative
我明天要去做健康检查，有点紧张。,Neutral
我终于写完了我的论文，真舒服！,Positive
干！我的网络又断了，这是今天第三次了！,Negative
今天去的那家咖啡店，环境真的很糟糕。,Negative
最近我一直感觉心情很低落，对任何事情都缺乏热情。,Negative
我刚刚发现我的老同学现在变成了明星！,Positive
这个周末要不要一起去公园散步？,Neutral
那个男人每次都说一些非常恶心的话，我真的很厌恶他。,Negative
我刚换了新手机，超级喜欢！,Positive
最近工作一直不顺利，觉得好累。,Negative
我刚才梦到被人追杀，真是太可怕了！,Neutral
我终于买到了那款限量版的鞋子！等了好久！,Positive
我向主管反映问题，结果他完全不理我！,Negative
那家餐厅的菜真的不好吃，太油了。,Negative
最近与家人的关系有点紧张，让我心情很差。,Negative
你知道吗？张景祥竟然辞职去创办了自己的公司！,Positive
你明天有空吗？要不要一起去喝杯咖啡。,Neutral
我真的无法忍受高芸茜，他真的很喜欢抱怨，一件小事就能说一整天。,Negative
我今天终于完成了我的健身目标，我现在超级壮的，哈哈！,Positive
我的朋友要搬到国外了，有点难过。,Negative
我刚刚看到新闻说最近治安不好，我有点怕出门。,Neutral
我今天考试拿了满分！,Positive
老板竟然让我加班，明明说好下班就可以走的！,Negative
我刚去的那家店服务态度很差，真的不想再去。,Negative
我今天真的过得很糟，所有事情都不顺。,Negative
你知道吗？我刚碰到了一个小时候的朋友，真没想到会在这里遇见他！,Positive
这个周末我们可以去爬山，你觉得怎么样？,Neutral
他的讲话真的有点低俗，感觉一直在嘲讽人。,Negative
我今天完全没有想到她会送我礼物，超级开心的！,Positive
我感觉最近与朋友的关系变得有点冷淡。,Negative
今天我要去看牙医，从小到现在，牙医都是我的噩梦，好紧张啊！,Neutral
我刚买了我一直想要的那台笔记本电脑，我存了很久的钱终于存到了，太舒服了！,Positive
我订的快递竟然被弄丢了，这不是太夸张了吗！,Negative
今天公司午餐的味道真的不好，非常难吃。,Negative
我非常想念我的家人，已经很久没有见到他们了。,Negative
我刚收到一个来自陌生人寄来的包裹！,Positive
下周有没有时间一起去看展览？,Neutral
那个人真的是非常不礼貌，我无法想象他的父母是如何教育他的。,Negative
我刚学会了一个新技能，现在超有成就感！,Positive
最近压力很大，感觉自己快支撑不住了。,Negative
我刚接一个陌生电话，感觉是诈骗。,Neutral
我终于学会了游泳！不会再被笑了！,Positive
我真的不能忍受他那种自以为是的样子！,Negative
今天吃的那些点心，真的很难吃。,Negative
最近的日子过得真是难熬，感觉什么都不顺。,Negative
我刚刚在全家（便利商店）遇到了以前的老师！,Positive
你认为处理这个问题最好是怎么做？,Neutral
这件衣服的材质摸起来不怎么好，完全不想穿。,Negative
今天我发现了一家非常棒的小吃店，食物很美味又实惠！,Positive
我觉得最近和朋友的关系越来越疏远，心里很难过。,Negative
我最近想换个工作。,Neutral
我竟然在IG上看到了我以前的同学。,Positive
最近好像都是一个人。,Negative
今晚有什么要做吗？,Neutral
我实现了一个长期的目标，我非常满意。,Positive
我很害怕未来要做什么。,Neutral
我真的很讨厌做这种繁琐的工作。,Negative
我对这个决定很不满意。,Negative
我今天打算处理一些文件。,Neutral
